cgr,aa,bb,cc,va,dd,hh,ss
1OW,0.1066,0.1066,0.1066,0.1066,0.1066,0.1066,0.1066
7HB,0.1071,0.1071,0.1071,0.1071,0.1071,0.1071,0.1071
1OE,0.1076,0.1076,0.1076,0.1076,0.1076,0.1076,0.1076
1OD,0.1082,0.1082,0.1082,0.1082,0.1082,0.1082,0.1082
I9Y,0.1087,0.1087,0.1087,0.1087,0.1087,0.1087,0.1087
NYF,0.1093,0.1093,0.1093,0.1093,0.1093,0.1093,0.1093
SN8,0.1098,0.1098,0.1098,0.1098,0.1098,0.1098,0.1098
KYM,0.1104,0.1104,0.1104,0.1104,0.1104,0.1104,0.1104
SPM,0.1109,0.1109,0.1109,0.1109,0.1109,0.1109,0.1109
SPD,0.1115,0.1115,0.1115,0.1115,0.1115,0.1115,0.1115
PKG,0.1120,0.1120,0.1120,0.1120,0.1120,0.1120,0.1120
BW3,0.1126,0.1126,0.1126,0.1126,0.1126,0.1126,0.1126
34M,0.1131,0.1131,0.1131,0.1131,0.1131,0.1131,0.1131
SP2,0.1137,0.1137,0.1137,0.1137,0.1137,0.1137,0.1137
XPF,0.1143,0.1143,0.1143,0.1143,0.1143,0.1143,0.1143
IXS,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148
Y17,0.1154,0.1154,0.1154,0.1154,0.1154,0.1154,0.1154
IXQ,0.1160,0.1160,0.1160,0.1160,0.1160,0.1160,0.1160
XPV,0.1166,0.1166,0.1166,0.1166,0.1166,0.1166,0.1166
KRQ,0.1172,0.1172,0.1172,0.1172,0.1172,0.1172,0.1172
NY8,0.1177,0.1177,0.1177,0.1177,0.1177,0.1177,0.1177
Z6O,0.1183,0.1183,0.1183,0.1183,0.1183,0.1183,0.1183
JNT,0.1189,0.1189,0.1189,0.1189,0.1189,0.1189,0.1189
NY6,0.1195,0.1195,0.1195,0.1195,0.1195,0.1195,0.1195
QE1,0.1201,0.1201,0.1201,0.1201,0.1201,0.1201,0.1201
PQR,0.1207,0.1207,0.1207,0.1207,0.1207,0.1207,0.1207
PQT,0.1213,0.1213,0.1213,0.1213,0.1213,0.1213,0.1213
I96,0.1219,0.1219,0.1219,0.1219,0.1219,0.1219,0.1219
L7D,0.1225,0.1225,0.1225,0.1225,0.1225,0.1225,0.1225
AH7,0.1231,0.1231,0.1231,0.1231,0.1231,0.1231,0.1231
X48,0.1237,0.1237,0.1237,0.1237,0.1237,0.1237,0.1237
BES,0.1244,0.1244,0.1244,0.1244,0.1244,0.1244,0.1244
X6H,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250
T8S,0.1256,0.1256,0.1256,0.1256,0.1256,0.1256,0.1256
LSV,0.1262,0.1262,0.1262,0.1262,0.1262,0.1262,0.1262
10X,0.1269,0.1269,0.1269,0.1269,0.1269,0.1269,0.1269
0Q6,0.1275,0.1275,0.1275,0.1275,0.1275,0.1275,0.1275
1DS,0.1281,0.1281,0.1281,0.1281,0.1281,0.1281,0.1281
VLP,0.1288,0.1288,0.1288,0.1288,0.1288,0.1288,0.1288
GRD,0.1294,0.1294,0.1294,0.1294,0.1294,0.1294,0.1294
XMV,0.1301,0.1301,0.1301,0.1301,0.1301,0.1301,0.1301
A5D,0.1307,0.1307,0.1307,0.1307,0.1307,0.1307,0.1307
TJH,0.1314,0.1314,0.1314,0.1314,0.1314,0.1314,0.1314
KRA,0.1320,0.1320,0.1320,0.1320,0.1320,0.1320,0.1320
KKS,0.1327,0.1327,0.1327,0.1327,0.1327,0.1327,0.1327
KKH,0.1333,0.1333,0.1333,0.1333,0.1333,0.1333,0.1333
K1P,0.1340,0.1340,0.1340,0.1340,0.1340,0.1340,0.1340
NOW,0.1347,0.1347,0.1347,0.1347,0.1347,0.1347,0.1347
KKC,0.1353,0.1353,0.1353,0.1353,0.1353,0.1353,0.1353
4TY,0.1360,0.1360,0.1360,0.1360,0.1360,0.1360,0.1360
OR4,0.1367,0.1367,0.1367,0.1367,0.1367,0.1367,0.1367
VU4,0.1374,0.1374,0.1374,0.1374,0.1374,0.1374,0.1374
S87,0.1381,0.1381,0.1381,0.1381,0.1381,0.1381,0.1381
K1K,0.1387,0.1387,0.1387,0.1387,0.1387,0.1387,0.1387
E26,0.1394,0.1394,0.1394,0.1394,0.1394,0.1394,0.1394
K1I,0.1401,0.1401,0.1401,0.1401,0.1401,0.1401,0.1401
Q9H,0.1408,0.1408,0.1408,0.1408,0.1408,0.1408,0.1408
EIS,0.1415,0.1415,0.1415,0.1415,0.1415,0.1415,0.1415
CT4,0.1422,0.1422,0.1422,0.1422,0.1422,0.1422,0.1422
RLO,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429
O0M,0.1437,0.1437,0.1437,0.1437,0.1437,0.1437,0.1437
89Y,0.1444,0.1444,0.1444,0.1444,0.1444,0.1444,0.1444
VK7,0.1451,0.1451,0.1451,0.1451,0.1451,0.1451,0.1451
LMK,0.1458,0.1458,0.1458,0.1458,0.1458,0.1458,0.1458
70U,0.1465,0.1465,0.1465,0.1465,0.1465,0.1465,0.1465
05T,0.1473,0.1473,0.1473,0.1473,0.1473,0.1473,0.1473
RLT,0.1480,0.1480,0.1480,0.1480,0.1480,0.1480,0.1480
ORB,0.1487,0.1487,0.1487,0.1487,0.1487,0.1487,0.1487
00T,0.1495,0.1495,0.1495,0.1495,0.1495,0.1495,0.1495
DPG,0.1502,0.1502,0.1502,0.1502,0.1502,0.1502,0.1502
FX4,0.1510,0.1510,0.1510,0.1510,0.1510,0.1510,0.1510
N44,0.1517,0.1517,0.1517,0.1517,0.1517,0.1517,0.1517
R56,0.1525,0.1525,0.1525,0.1525,0.1525,0.1525,0.1525
ONE,0.1533,0.1533,0.1533,0.1533,0.1533,0.1533,0.1533
ONS,0.1540,0.1540,0.1540,0.1540,0.1540,0.1540,0.1540
9AG,0.1548,0.1548,0.1548,0.1548,0.1548,0.1548,0.1548
ONU,0.1556,0.1556,0.1556,0.1556,0.1556,0.1556,0.1556
V0V,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563
V9L,0.1571,0.1571,0.1571,0.1571,0.1571,0.1571,0.1571
RZI,0.1579,0.1579,0.1579,0.1579,0.1579,0.1579,0.1579
FXO,0.1587,0.1587,0.1587,0.1587,0.1587,0.1587,0.1587
8CW,0.1595,0.1595,0.1595,0.1595,0.1595,0.1595,0.1595
8CU,0.1603,0.1603,0.1603,0.1603,0.1603,0.1603,0.1603
OWR,0.1611,0.1611,0.1611,0.1611,0.1611,0.1611,0.1611
G37,0.1619,0.1619,0.1619,0.1619,0.1619,0.1619,0.1619
2LQ,0.1627,0.1627,0.1627,0.1627,0.1627,0.1627,0.1627
DP1,0.1635,0.1635,0.1635,0.1635,0.1635,0.1635,0.1635
621,0.1643,0.1643,0.1643,0.1643,0.1643,0.1643,0.1643
6CG,0.1651,0.1651,0.1651,0.1651,0.1651,0.1651,0.1651
MR6,0.1660,0.1660,0.1660,0.1660,0.1660,0.1660,0.1660
3RL,0.1668,0.1668,0.1668,0.1668,0.1668,0.1668,0.1668
CH1,0.1676,0.1676,0.1676,0.1676,0.1676,0.1676,0.1676
LVR,0.1685,0.1685,0.1685,0.1685,0.1685,0.1685,0.1685
L02,0.1693,0.1693,0.1693,0.1693,0.1693,0.1693,0.1693
0NA,0.1701,0.1701,0.1701,0.1701,0.1701,0.1701,0.1701
MRF,0.1710,0.1710,0.1710,0.1710,0.1710,0.1710,0.1710
Z74,0.1718,0.1718,0.1718,0.1718,0.1718,0.1718,0.1718
SA6,0.1727,0.1727,0.1727,0.1727,0.1727,0.1727,0.1727
UYQ,0.1736,0.1736,0.1736,0.1736,0.1736,0.1736,0.1736
APR,0.1744,0.1744,0.1744,0.1744,0.1744,0.1744,0.1744
M5E,0.1753,0.1753,0.1753,0.1753,0.1753,0.1753,0.1753
XQ1,0.1762,0.1762,0.1762,0.1762,0.1762,0.1762,0.1762
7YK,0.1770,0.1770,0.1770,0.1770,0.1770,0.1770,0.1770
VKW,0.1779,0.1779,0.1779,0.1779,0.1779,0.1779,0.1779
87K,0.1788,0.1788,0.1788,0.1788,0.1788,0.1788,0.1788
Y05,0.1797,0.1797,0.1797,0.1797,0.1797,0.1797,0.1797
K7M,0.1806,0.1806,0.1806,0.1806,0.1806,0.1806,0.1806
HY5,0.1815,0.1815,0.1815,0.1815,0.1815,0.1815,0.1815
24C,0.1824,0.1824,0.1824,0.1824,0.1824,0.1824,0.1824
4MH,0.1833,0.1833,0.1833,0.1833,0.1833,0.1833,0.1833
MAC,0.1842,0.1842,0.1842,0.1842,0.1842,0.1842,0.1842
B33,0.1852,0.1852,0.1852,0.1852,0.1852,0.1852,0.1852
HM4,0.1861,0.1861,0.1861,0.1861,0.1861,0.1861,0.1861
AHU,0.1870,0.1870,0.1870,0.1870,0.1870,0.1870,0.1870
AFA,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879,0.1879
GCO,0.1889,0.1889,0.1889,0.1889,0.1889,0.1889,0.1889
CCJ,0.1898,0.1898,0.1898,0.1898,0.1898,0.1898,0.1898
39D,0.1908,0.1908,0.1908,0.1908,0.1908,0.1908,0.1908
KXC,0.1917,0.1917,0.1917,0.1917,0.1917,0.1917,0.1917
KXE,0.1927,0.1927,0.1927,0.1927,0.1927,0.1927,0.1927
Y0B,0.1936,0.1936,0.1936,0.1936,0.1936,0.1936,0.1936
67P,0.1946,0.1946,0.1946,0.1946,0.1946,0.1946,0.1946
XCU,0.1956,0.1956,0.1956,0.1956,0.1956,0.1956,0.1956
2LI,0.1965,0.1965,0.1965,0.1965,0.1965,0.1965,0.1965
1RR,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975
1RZ,0.1985,0.1985,0.1985,0.1985,0.1985,0.1985,0.1985
SEG,0.1995,0.1995,0.1995,0.1995,0.1995,0.1995,0.1995
NT0,0.2005,0.2005,0.2005,0.2005,0.2005,0.2005,0.2005
Q8J,0.2015,0.2015,0.2015,0.2015,0.2015,0.2015,0.2015
D6P,0.2025,0.2025,0.2025,0.2025,0.2025,0.2025,0.2025
5PX,0.2035,0.2035,0.2035,0.2035,0.2035,0.2035,0.2035
ZPM,0.2045,0.2045,0.2045,0.2045,0.2045,0.2045,0.2045
06N,0.2055,0.2055,0.2055,0.2055,0.2055,0.2055,0.2055
RM3,0.2066,0.2066,0.2066,0.2066,0.2066,0.2066,0.2066
WMM,0.2076,0.2076,0.2076,0.2076,0.2076,0.2076,0.2076
YAX,0.2086,0.2086,0.2086,0.2086,0.2086,0.2086,0.2086
KJE,0.2097,0.2097,0.2097,0.2097,0.2097,0.2097,0.2097
BBB,0.2107,0.2107,0.2107,0.2107,0.2107,0.2107,0.2107
P7A,0.2118,0.2118,0.2118,0.2118,0.2118,0.2118,0.2118
WMA,0.2128,0.2128,0.2128,0.2128,0.2128,0.2128,0.2128
KJT,0.2139,0.2139,0.2139,0.2139,0.2139,0.2139,0.2139
6GV,0.2150,0.2150,0.2150,0.2150,0.2150,0.2150,0.2150
TUZ,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160
FR8,0.2171,0.2171,0.2171,0.2171,0.2171,0.2171,0.2171
VMU,0.2182,0.2182,0.2182,0.2182,0.2182,0.2182,0.2182
TUD,0.2193,0.2193,0.2193,0.2193,0.2193,0.2193,0.2193
H2C,0.2204,0.2204,0.2204,0.2204,0.2204,0.2204,0.2204
5IE,0.2215,0.2215,0.2215,0.2215,0.2215,0.2215,0.2215
E7N,0.2226,0.2226,0.2226,0.2226,0.2226,0.2226,0.2226
8DW,0.2237,0.2237,0.2237,0.2237,0.2237,0.2237,0.2237
WK5,0.2248,0.2248,0.2248,0.2248,0.2248,0.2248,0.2248
R94,0.2259,0.2259,0.2259,0.2259,0.2259,0.2259,0.2259
CW9,0.2270,0.2270,0.2270,0.2270,0.2270,0.2270,0.2270
O05,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282,0.2282
CW4,0.2293,0.2293,0.2293,0.2293,0.2293,0.2293,0.2293
CYD,0.2305,0.2305,0.2305,0.2305,0.2305,0.2305,0.2305
O0Q,0.2316,0.2316,0.2316,0.2316,0.2316,0.2316,0.2316
CY5,0.2328,0.2328,0.2328,0.2328,0.2328,0.2328,0.2328
PO7,0.2339,0.2339,0.2339,0.2339,0.2339,0.2339,0.2339
W4Z,0.2351,0.2351,0.2351,0.2351,0.2351,0.2351,0.2351
G9S,0.2363,0.2363,0.2363,0.2363,0.2363,0.2363,0.2363
802,0.2374,0.2374,0.2374,0.2374,0.2374,0.2374,0.2374
VCX,0.2386,0.2386,0.2386,0.2386,0.2386,0.2386,0.2386
RQQ,0.2398,0.2398,0.2398,0.2398,0.2398,0.2398,0.2398
CWB,0.2410,0.2410,0.2410,0.2410,0.2410,0.2410,0.2410
FKT,0.2422,0.2422,0.2422,0.2422,0.2422,0.2422,0.2422
5OY,0.2434,0.2434,0.2434,0.2434,0.2434,0.2434,0.2434
4UF,0.2446,0.2446,0.2446,0.2446,0.2446,0.2446,0.2446
4UG,0.2459,0.2459,0.2459,0.2459,0.2459,0.2459,0.2459
E1P,0.2471,0.2471,0.2471,0.2471,0.2471,0.2471,0.2471
CLY,0.2483,0.2483,0.2483,0.2483,0.2483,0.2483,0.2483
CKE,0.2496,0.2496,0.2496,0.2496,0.2496,0.2496,0.2496
IH8,0.2508,0.2508,0.2508,0.2508,0.2508,0.2508,0.2508
3CI,0.2521,0.2521,0.2521,0.2521,0.2521,0.2521,0.2521
PAX,0.2533,0.2533,0.2533,0.2533,0.2533,0.2533,0.2533
ZFT,0.2546,0.2546,0.2546,0.2546,0.2546,0.2546,0.2546
0OH,0.2558,0.2558,0.2558,0.2558,0.2558,0.2558,0.2558
8NC,0.2571,0.2571,0.2571,0.2571,0.2571,0.2571,0.2571
8NG,0.2584,0.2584,0.2584,0.2584,0.2584,0.2584,0.2584
5W7,0.2597,0.2597,0.2597,0.2597,0.2597,0.2597,0.2597
8NH,0.2610,0.2610,0.2610,0.2610,0.2610,0.2610,0.2610
M4T,0.2623,0.2623,0.2623,0.2623,0.2623,0.2623,0.2623
UXO,0.2636,0.2636,0.2636,0.2636,0.2636,0.2636,0.2636
AWE,0.2649,0.2649,0.2649,0.2649,0.2649,0.2649,0.2649
MQZ,0.2662,0.2662,0.2662,0.2662,0.2662,0.2662,0.2662
7XJ,0.2676,0.2676,0.2676,0.2676,0.2676,0.2676,0.2676
ZXC,0.2689,0.2689,0.2689,0.2689,0.2689,0.2689,0.2689
L9V,0.2702,0.2702,0.2702,0.2702,0.2702,0.2702,0.2702
AW8,0.2716,0.2716,0.2716,0.2716,0.2716,0.2716,0.2716
UX8,0.2729,0.2729,0.2729,0.2729,0.2729,0.2729,0.2729
VLQ,0.2743,0.2743,0.2743,0.2743,0.2743,0.2743,0.2743
54P,0.2757,0.2757,0.2757,0.2757,0.2757,0.2757,0.2757
DQC,0.2770,0.2770,0.2770,0.2770,0.2770,0.2770,0.2770
54Z,0.2784,0.2784,0.2784,0.2784,0.2784,0.2784,0.2784
ZLL,0.2798,0.2798,0.2798,0.2798,0.2798,0.2798,0.2798
ZLN,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812,0.2812
F2L,0.2826,0.2826,0.2826,0.2826,0.2826,0.2826,0.2826
CK5,0.2840,0.2840,0.2840,0.2840,0.2840,0.2840,0.2840
MWD,0.2854,0.2854,0.2854,0.2854,0.2854,0.2854,0.2854
JL6,0.2869,0.2869,0.2869,0.2869,0.2869,0.2869,0.2869
7JI,0.2883,0.2883,0.2883,0.2883,0.2883,0.2883,0.2883
DMH,0.2897,0.2897,0.2897,0.2897,0.2897,0.2897,0.2897
1MR,0.2912,0.2912,0.2912,0.2912,0.2912,0.2912,0.2912
L10,0.2926,0.2926,0.2926,0.2926,0.2926,0.2926,0.2926
UC3,0.2941,0.2941,0.2941,0.2941,0.2941,0.2941,0.2941
AEG,0.2956,0.2956,0.2956,0.2956,0.2956,0.2956,0.2956
B0S,0.2970,0.2970,0.2970,0.2970,0.2970,0.2970,0.2970
B0R,0.2985,0.2985,0.2985,0.2985,0.2985,0.2985,0.2985
36L,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000
36C,0.3015,0.3015,0.3015,0.3015,0.3015,0.3015,0.3015
381,0.3030,0.3030,0.3030,0.3030,0.3030,0.3030,0.3030
B04,0.3045,0.3045,0.3045,0.3045,0.3045,0.3045,0.3045
DM6,0.3060,0.3060,0.3060,0.3060,0.3060,0.3060,0.3060
MOG,0.3076,0.3076,0.3076,0.3076,0.3076,0.3076,0.3076
PST,0.3091,0.3091,0.3091,0.3091,0.3091,0.3091,0.3091
7RD,0.3106,0.3106,0.3106,0.3106,0.3106,0.3106,0.3106
NM4,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122
BCI,0.3137,0.3137,0.3137,0.3137,0.3137,0.3137,0.3137
NM1,0.3153,0.3153,0.3153,0.3153,0.3153,0.3153,0.3153
X61,0.3169,0.3169,0.3169,0.3169,0.3169,0.3169,0.3169
KMI,0.3185,0.3185,0.3185,0.3185,0.3185,0.3185,0.3185
253,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200
TD0,0.3216,0.3216,0.3216,0.3216,0.3216,0.3216,0.3216
ETL,0.3232,0.3232,0.3232,0.3232,0.3232,0.3232,0.3232
TVQ,0.3249,0.3249,0.3249,0.3249,0.3249,0.3249,0.3249
S16,0.3265,0.3265,0.3265,0.3265,0.3265,0.3265,0.3265
TVC,0.3281,0.3281,0.3281,0.3281,0.3281,0.3281,0.3281
JZ0,0.3297,0.3297,0.3297,0.3297,0.3297,0.3297,0.3297
K6F,0.3314,0.3314,0.3314,0.3314,0.3314,0.3314,0.3314
2Q1,0.3330,0.3330,0.3330,0.3330,0.3330,0.3330,0.3330
SRH,0.3347,0.3347,0.3347,0.3347,0.3347,0.3347,0.3347
SRS,0.3364,0.3364,0.3364,0.3364,0.3364,0.3364,0.3364
JZV,0.3380,0.3380,0.3380,0.3380,0.3380,0.3380,0.3380
NMT,0.3397,0.3397,0.3397,0.3397,0.3397,0.3397,0.3397
NMR,0.3414,0.3414,0.3414,0.3414,0.3414,0.3414,0.3414
T2X,0.3431,0.3431,0.3431,0.3431,0.3431,0.3431,0.3431
NMX,0.3448,0.3448,0.3448,0.3448,0.3448,0.3448,0.3448
HN0,0.3466,0.3466,0.3466,0.3466,0.3466,0.3466,0.3466
HN7,0.3483,0.3483,0.3483,0.3483,0.3483,0.3483,0.3483
B8N,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500
NWL,0.3518,0.3518,0.3518,0.3518,0.3518,0.3518,0.3518
NW5,0.3535,0.3535,0.3535,0.3535,0.3535,0.3535,0.3535
80N,0.3553,0.3553,0.3553,0.3553,0.3553,0.3553,0.3553
2QE,0.3571,0.3571,0.3571,0.3571,0.3571,0.3571,0.3571
FHB,0.3588,0.3588,0.3588,0.3588,0.3588,0.3588,0.3588
4VH,0.3606,0.3606,0.3606,0.3606,0.3606,0.3606,0.3606
2QH,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624
IVF,0.3642,0.3642,0.3642,0.3642,0.3642,0.3642,0.3642
EB8,0.3661,0.3661,0.3661,0.3661,0.3661,0.3661,0.3661
FHR,0.3679,0.3679,0.3679,0.3679,0.3679,0.3679,0.3679
8U4,0.3697,0.3697,0.3697,0.3697,0.3697,0.3697,0.3697
E0W,0.3716,0.3716,0.3716,0.3716,0.3716,0.3716,0.3716
UB7,0.3734,0.3734,0.3734,0.3734,0.3734,0.3734,0.3734
1Q2,0.3753,0.3753,0.3753,0.3753,0.3753,0.3753,0.3753
5LV,0.3771,0.3771,0.3771,0.3771,0.3771,0.3771,0.3771
1QE,0.3790,0.3790,0.3790,0.3790,0.3790,0.3790,0.3790
TIR,0.3809,0.3809,0.3809,0.3809,0.3809,0.3809,0.3809
L90,0.3828,0.3828,0.3828,0.3828,0.3828,0.3828,0.3828
Q4F,0.3847,0.3847,0.3847,0.3847,0.3847,0.3847,0.3847
W73,0.3866,0.3866,0.3866,0.3866,0.3866,0.3866,0.3866
CPY,0.3886,0.3886,0.3886,0.3886,0.3886,0.3886,0.3886
RJZ,0.3905,0.3905,0.3905,0.3905,0.3905,0.3905,0.3905
V7O,0.3925,0.3925,0.3925,0.3925,0.3925,0.3925,0.3925
9NJ,0.3944,0.3944,0.3944,0.3944,0.3944,0.3944,0.3944
1OB,0.3964,0.3964,0.3964,0.3964,0.3964,0.3964,0.3964
07A,0.3984,0.3984,0.3984,0.3984,0.3984,0.3984,0.3984
IP4,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003
IVN,0.4023,0.4023,0.4023,0.4023,0.4023,0.4023,0.4023
PAH,0.4043,0.4043,0.4043,0.4043,0.4043,0.4043,0.4043
9NG,0.4064,0.4064,0.4064,0.4064,0.4064,0.4064,0.4064
O5R,0.4084,0.4084,0.4084,0.4084,0.4084,0.4084,0.4084
DRA,0.4104,0.4104,0.4104,0.4104,0.4104,0.4104,0.4104
ZFG,0.4125,0.4125,0.4125,0.4125,0.4125,0.4125,0.4125
N8X,0.4145,0.4145,0.4145,0.4145,0.4145,0.4145,0.4145
7PC,0.4166,0.4166,0.4166,0.4166,0.4166,0.4166,0.4166
ZL3,0.4187,0.4187,0.4187,0.4187,0.4187,0.4187,0.4187
FI1,0.4208,0.4208,0.4208,0.4208,0.4208,0.4208,0.4208
JD7,0.4229,0.4229,0.4229,0.4229,0.4229,0.4229,0.4229
XAD,0.4250,0.4250,0.4250,0.4250,0.4250,0.4250,0.4250
2XR,0.4271,0.4271,0.4271,0.4271,0.4271,0.4271,0.4271
S4N,0.4292,0.4292,0.4292,0.4292,0.4292,0.4292,0.4292
5HR,0.4314,0.4314,0.4314,0.4314,0.4314,0.4314,0.4314
DCC,0.4335,0.4335,0.4335,0.4335,0.4335,0.4335,0.4335
K3I,0.4357,0.4357,0.4357,0.4357,0.4357,0.4357,0.4357
E6Y,0.4379,0.4379,0.4379,0.4379,0.4379,0.4379,0.4379
DH4,0.4400,0.4400,0.4400,0.4400,0.4400,0.4400,0.4400
UIS,0.4422,0.4422,0.4422,0.4422,0.4422,0.4422,0.4422
5V4,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444
UIU,0.4467,0.4467,0.4467,0.4467,0.4467,0.4467,0.4467
WD8,0.4489,0.4489,0.4489,0.4489,0.4489,0.4489,0.4489
ELT,0.4511,0.4511,0.4511,0.4511,0.4511,0.4511,0.4511
XSX,0.4534,0.4534,0.4534,0.4534,0.4534,0.4534,0.4534
ZGB,0.4556,0.4556,0.4556,0.4556,0.4556,0.4556,0.4556
XSC,0.4579,0.4579,0.4579,0.4579,0.4579,0.4579,0.4579
D6V,0.4602,0.4602,0.4602,0.4602,0.4602,0.4602,0.4602
7L8,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625
40F,0.4648,0.4648,0.4648,0.4648,0.4648,0.4648,0.4648
3TN,0.4671,0.4671,0.4671,0.4671,0.4671,0.4671,0.4671
FIV,0.4694,0.4694,0.4694,0.4694,0.4694,0.4694,0.4694
PTA,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718
674,0.4741,0.4741,0.4741,0.4741,0.4741,0.4741,0.4741
SCT,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765,0.4765
BFJ,0.4789,0.4789,0.4789,0.4789,0.4789,0.4789,0.4789
MNC,0.4813,0.4813,0.4813,0.4813,0.4813,0.4813,0.4813
6K5,0.4837,0.4837,0.4837,0.4837,0.4837,0.4837,0.4837
SCS,0.4861,0.4861,0.4861,0.4861,0.4861,0.4861,0.4861
N2P,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885
PBQ,0.4909,0.4909,0.4909,0.4909,0.4909,0.4909,0.4909
DRW,0.4934,0.4934,0.4934,0.4934,0.4934,0.4934,0.4934
B6P,0.4958,0.4958,0.4958,0.4958,0.4958,0.4958,0.4958
54Y,0.4983,0.4983,0.4983,0.4983,0.4983,0.4983,0.4983
J7T,0.5008,0.5008,0.5008,0.5008,0.5008,0.5008,0.5008
PI4,0.5033,0.5033,0.5033,0.5033,0.5033,0.5033,0.5033
PBE,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
N2V,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083,0.5083
2CE,0.5109,0.5109,0.5109,0.5109,0.5109,0.5109,0.5109
JNS,0.5134,0.5134,0.5134,0.5134,0.5134,0.5134,0.5134
SC7,0.5160,0.5160,0.5160,0.5160,0.5160,0.5160,0.5160
J2W,0.5185,0.5185,0.5185,0.5185,0.5185,0.5185,0.5185
6SL,0.5211,0.5211,0.5211,0.5211,0.5211,0.5211,0.5211
TYI,0.5237,0.5237,0.5237,0.5237,0.5237,0.5237,0.5237
CJT,0.5263,0.5263,0.5263,0.5263,0.5263,0.5263,0.5263
E7M,0.5290,0.5290,0.5290,0.5290,0.5290,0.5290,0.5290
2V6,0.5316,0.5316,0.5316,0.5316,0.5316,0.5316,0.5316
SI4,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343
UWE,0.5369,0.5369,0.5369,0.5369,0.5369,0.5369,0.5369
SQV,0.5396,0.5396,0.5396,0.5396,0.5396,0.5396,0.5396
0TL,0.5423,0.5423,0.5423,0.5423,0.5423,0.5423,0.5423
1O8,0.5450,0.5450,0.5450,0.5450,0.5450,0.5450,0.5450
MWR,0.5477,0.5477,0.5477,0.5477,0.5477,0.5477,0.5477
EBU,0.5504,0.5504,0.5504,0.5504,0.5504,0.5504,0.5504
XE4,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532,0.5532
I61,0.5560,0.5560,0.5560,0.5560,0.5560,0.5560,0.5560
