cgr,aa,bb,cc,va,dd,hh,ss
NKE,2.9289,2.9289,2.9289,2.9289,2.9289,2.9289,2.9289
J5B,2.9435,2.9435,2.9435,2.9435,2.9435,2.9435,2.9435
0WW,2.9582,2.9582,2.9582,2.9582,2.9582,2.9582,2.9582
GWS,2.9730,2.9730,2.9730,2.9730,2.9730,2.9730,2.9730
VV6,2.9878,2.9878,2.9878,2.9878,2.9878,2.9878,2.9878
SX9,3.0027,3.0027,3.0027,3.0027,3.0027,3.0027,3.0027
SVU,3.0177,3.0177,3.0177,3.0177,3.0177,3.0177,3.0177
21W,3.0327,3.0327,3.0327,3.0327,3.0327,3.0327,3.0327
NKL,3.0479,3.0479,3.0479,3.0479,3.0479,3.0479,3.0479
S5O,3.0631,3.0631,3.0631,3.0631,3.0631,3.0631,3.0631
KGA,3.0783,3.0783,3.0783,3.0783,3.0783,3.0783,3.0783
1GU,3.0937,3.0937,3.0937,3.0937,3.0937,3.0937,3.0937
Y99,3.1091,3.1091,3.1091,3.1091,3.1091,3.1091,3.1091
KGF,3.1246,3.1246,3.1246,3.1246,3.1246,3.1246,3.1246
1GD,3.1402,3.1402,3.1402,3.1402,3.1402,3.1402,3.1402
PEI,3.1559,3.1559,3.1559,3.1559,3.1559,3.1559,3.1559
VDR,3.1716,3.1716,3.1716,3.1716,3.1716,3.1716,3.1716
I8S,3.1874,3.1874,3.1874,3.1874,3.1874,3.1874,3.1874
FLR,3.2033,3.2033,3.2033,3.2033,3.2033,3.2033,3.2033
LKB,3.2193,3.2193,3.2193,3.2193,3.2193,3.2193,3.2193
R6N,3.2354,3.2354,3.2354,3.2354,3.2354,3.2354,3.2354
R24,3.2515,3.2515,3.2515,3.2515,3.2515,3.2515,3.2515
84O,3.2677,3.2677,3.2677,3.2677,3.2677,3.2677,3.2677
84M,3.2840,3.2840,3.2840,3.2840,3.2840,3.2840,3.2840
KC9,3.3004,3.3004,3.3004,3.3004,3.3004,3.3004,3.3004
PAP,3.3168,3.3168,3.3168,3.3168,3.3168,3.3168,3.3168
ZQQ,3.3334,3.3334,3.3334,3.3334,3.3334,3.3334,3.3334
W3O,3.3500,3.3500,3.3500,3.3500,3.3500,3.3500,3.3500
WVH,3.3667,3.3667,3.3667,3.3667,3.3667,3.3667,3.3667
LA4,3.3835,3.3835,3.3835,3.3835,3.3835,3.3835,3.3835
WLF,3.4004,3.4004,3.4004,3.4004,3.4004,3.4004,3.4004
71F,3.4174,3.4174,3.4174,3.4174,3.4174,3.4174,3.4174
WV8,3.4344,3.4344,3.4344,3.4344,3.4344,3.4344,3.4344
1UD,3.4515,3.4515,3.4515,3.4515,3.4515,3.4515,3.4515
1UF,3.4687,3.4687,3.4687,3.4687,3.4687,3.4687,3.4687
W38,3.4860,3.4860,3.4860,3.4860,3.4860,3.4860,3.4860
8T8,3.5034,3.5034,3.5034,3.5034,3.5034,3.5034,3.5034
TRU,3.5209,3.5209,3.5209,3.5209,3.5209,3.5209,3.5209
FL8,3.5385,3.5385,3.5385,3.5385,3.5385,3.5385,3.5385
KCC,3.5561,3.5561,3.5561,3.5561,3.5561,3.5561,3.5561
840,3.5738,3.5738,3.5738,3.5738,3.5738,3.5738,3.5738
YJ7,3.5917,3.5917,3.5917,3.5917,3.5917,3.5917,3.5917
8WA,3.6096,3.6096,3.6096,3.6096,3.6096,3.6096,3.6096
P4J,3.6276,3.6276,3.6276,3.6276,3.6276,3.6276,3.6276
9U5,3.6457,3.6457,3.6457,3.6457,3.6457,3.6457,3.6457
OZ6,3.6639,3.6639,3.6639,3.6639,3.6639,3.6639,3.6639
EHV,3.6821,3.6821,3.6821,3.6821,3.6821,3.6821,3.6821
8KB,3.7005,3.7005,3.7005,3.7005,3.7005,3.7005,3.7005
8KC,3.7190,3.7190,3.7190,3.7190,3.7190,3.7190,3.7190
8KY,3.7375,3.7375,3.7375,3.7375,3.7375,3.7375,3.7375
756,3.7561,3.7561,3.7561,3.7561,3.7561,3.7561,3.7561
EHW,3.7749,3.7749,3.7749,3.7749,3.7749,3.7749,3.7749
SS1,3.7937,3.7937,3.7937,3.7937,3.7937,3.7937,3.7937
RDY,3.8126,3.8126,3.8126,3.8126,3.8126,3.8126,3.8126
ELZ,3.8316,3.8316,3.8316,3.8316,3.8316,3.8316,3.8316
RDA,3.8508,3.8508,3.8508,3.8508,3.8508,3.8508,3.8508
RDC,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700
F74,3.8893,3.8893,3.8893,3.8893,3.8893,3.8893,3.8893
WRC,3.9087,3.9087,3.9087,3.9087,3.9087,3.9087,3.9087
5N6,3.9282,3.9282,3.9282,3.9282,3.9282,3.9282,3.9282
FBU,3.9477,3.9477,3.9477,3.9477,3.9477,3.9477,3.9477
LEH,3.9674,3.9674,3.9674,3.9674,3.9674,3.9674,3.9674
9UK,3.9872,3.9872,3.9872,3.9872,3.9872,3.9872,3.9872
P45,4.0071,4.0071,4.0071,4.0071,4.0071,4.0071,4.0071
607,4.0271,4.0271,4.0271,4.0271,4.0271,4.0271,4.0271
IQX,4.0472,4.0472,4.0472,4.0472,4.0472,4.0472,4.0472
603,4.0674,4.0674,4.0674,4.0674,4.0674,4.0674,4.0674
AZA,4.0877,4.0877,4.0877,4.0877,4.0877,4.0877,4.0877
U6K,4.1080,4.1080,4.1080,4.1080,4.1080,4.1080,4.1080
WRW,4.1285,4.1285,4.1285,4.1285,4.1285,4.1285,4.1285
G2R,4.1491,4.1491,4.1491,4.1491,4.1491,4.1491,4.1491
9IM,4.1698,4.1698,4.1698,4.1698,4.1698,4.1698,4.1698
6EY,4.1906,4.1906,4.1906,4.1906,4.1906,4.1906,4.1906
3HD,4.2115,4.2115,4.2115,4.2115,4.2115,4.2115,4.2115
C0T,4.2325,4.2325,4.2325,4.2325,4.2325,4.2325,4.2325
3HN,4.2536,4.2536,4.2536,4.2536,4.2536,4.2536,4.2536
6E7,4.2748,4.2748,4.2748,4.2748,4.2748,4.2748,4.2748
LAI,4.2962,4.2962,4.2962,4.2962,4.2962,4.2962,4.2962
3FV,4.3176,4.3176,4.3176,4.3176,4.3176,4.3176,4.3176
Z17,4.3391,4.3391,4.3391,4.3391,4.3391,4.3391,4.3391
ICG,4.3608,4.3608,4.3608,4.3608,4.3608,4.3608,4.3608
9EV,4.3825,4.3825,4.3825,4.3825,4.3825,4.3825,4.3825
ZCF,4.4044,4.4044,4.4044,4.4044,4.4044,4.4044,4.4044
X0P,4.4263,4.4263,4.4263,4.4263,4.4263,4.4263,4.4263
7DD,4.4484,4.4484,4.4484,4.4484,4.4484,4.4484,4.4484
XW4,4.4706,4.4706,4.4706,4.4706,4.4706,4.4706,4.4706
X5S,4.4929,4.4929,4.4929,4.4929,4.4929,4.4929,4.4929
F9P,4.5153,4.5153,4.5153,4.5153,4.5153,4.5153,4.5153
ZCJ,4.5378,4.5378,4.5378,4.5378,4.5378,4.5378,4.5378
WL0,4.5605,4.5605,4.5605,4.5605,4.5605,4.5605,4.5605
DXF,4.5832,4.5832,4.5832,4.5832,4.5832,4.5832,4.5832
WL1,4.6061,4.6061,4.6061,4.6061,4.6061,4.6061,4.6061
DXD,4.6290,4.6290,4.6290,4.6290,4.6290,4.6290,4.6290
J2E,4.6521,4.6521,4.6521,4.6521,4.6521,4.6521,4.6521
J2C,4.6753,4.6753,4.6753,4.6753,4.6753,4.6753,4.6753
O58,4.6987,4.6987,4.6987,4.6987,4.6987,4.6987,4.6987
3ZY,4.7221,4.7221,4.7221,4.7221,4.7221,4.7221,4.7221
J2R,4.7456,4.7456,4.7456,4.7456,4.7456,4.7456,4.7456
T79,4.7693,4.7693,4.7693,4.7693,4.7693,4.7693,4.7693
7CR,4.7931,4.7931,4.7931,4.7931,4.7931,4.7931,4.7931
S4B,4.8170,4.8170,4.8170,4.8170,4.8170,4.8170,4.8170
OVI,4.8410,4.8410,4.8410,4.8410,4.8410,4.8410,4.8410
1FL,4.8652,4.8652,4.8652,4.8652,4.8652,4.8652,4.8652
0F3,4.8894,4.8894,4.8894,4.8894,4.8894,4.8894,4.8894
TAH,4.9138,4.9138,4.9138,4.9138,4.9138,4.9138,4.9138
0FB,4.9383,4.9383,4.9383,4.9383,4.9383,4.9383,4.9383
7C5,4.9630,4.9630,4.9630,4.9630,4.9630,4.9630,4.9630
GIQ,4.9877,4.9877,4.9877,4.9877,4.9877,4.9877,4.9877
MJC,5.0126,5.0126,5.0126,5.0126,5.0126,5.0126,5.0126
MJL,5.0376,5.0376,5.0376,5.0376,5.0376,5.0376,5.0376
GIZ,5.0627,5.0627,5.0627,5.0627,5.0627,5.0627,5.0627
1F2,5.0880,5.0880,5.0880,5.0880,5.0880,5.0880,5.0880
JIV,5.1133,5.1133,5.1133,5.1133,5.1133,5.1133,5.1133
DJC,5.1389,5.1389,5.1389,5.1389,5.1389,5.1389,5.1389
JIQ,5.1645,5.1645,5.1645,5.1645,5.1645,5.1645,5.1645
64G,5.1902,5.1902,5.1902,5.1902,5.1902,5.1902,5.1902
YU0,5.2161,5.2161,5.2161,5.2161,5.2161,5.2161,5.2161
NPB,5.2421,5.2421,5.2421,5.2421,5.2421,5.2421,5.2421
XYA,5.2683,5.2683,5.2683,5.2683,5.2683,5.2683,5.2683
64P,5.2946,5.2946,5.2946,5.2946,5.2946,5.2946,5.2946
XYG,5.3210,5.3210,5.3210,5.3210,5.3210,5.3210,5.3210
3Z7,5.3475,5.3475,5.3475,5.3475,5.3475,5.3475,5.3475
VW6,5.3742,5.3742,5.3742,5.3742,5.3742,5.3742,5.3742
90Y,5.4010,5.4010,5.4010,5.4010,5.4010,5.4010,5.4010
1TF,5.4279,5.4279,5.4279,5.4279,5.4279,5.4279,5.4279
TST,5.4550,5.4550,5.4550,5.4550,5.4550,5.4550,5.4550
HC9,5.4822,5.4822,5.4822,5.4822,5.4822,5.4822,5.4822
6FA,5.5095,5.5095,5.5095,5.5095,5.5095,5.5095,5.5095
IUN,5.5370,5.5370,5.5370,5.5370,5.5370,5.5370,5.5370
KPW,5.5646,5.5646,5.5646,5.5646,5.5646,5.5646,5.5646
HM2,5.5924,5.5924,5.5924,5.5924,5.5924,5.5924,5.5924
HU3,5.6203,5.6203,5.6203,5.6203,5.6203,5.6203,5.6203
U2M,5.6483,5.6483,5.6483,5.6483,5.6483,5.6483,5.6483
LZZ,5.6765,5.6765,5.6765,5.6765,5.6765,5.6765,5.6765
GU3,5.7048,5.7048,5.7048,5.7048,5.7048,5.7048,5.7048
YTM,5.7333,5.7333,5.7333,5.7333,5.7333,5.7333,5.7333
44L,5.7618,5.7618,5.7618,5.7618,5.7618,5.7618,5.7618
8ZW,5.7906,5.7906,5.7906,5.7906,5.7906,5.7906,5.7906
IUW,5.8195,5.8195,5.8195,5.8195,5.8195,5.8195,5.8195
EKQ,5.8485,5.8485,5.8485,5.8485,5.8485,5.8485,5.8485
N0N,5.8777,5.8777,5.8777,5.8777,5.8777,5.8777,5.8777
O8T,5.9070,5.9070,5.9070,5.9070,5.9070,5.9070,5.9070
440,5.9364,5.9364,5.9364,5.9364,5.9364,5.9364,5.9364
YI7,5.9660,5.9660,5.9660,5.9660,5.9660,5.9660,5.9660
U24,5.9958,5.9958,5.9958,5.9958,5.9958,5.9958,5.9958
FCH,6.0257,6.0257,6.0257,6.0257,6.0257,6.0257,6.0257
9TE,6.0558,6.0558,6.0558,6.0558,6.0558,6.0558,6.0558
YIE,6.0860,6.0860,6.0860,6.0860,6.0860,6.0860,6.0860
KS5,6.1163,6.1163,6.1163,6.1163,6.1163,6.1163,6.1163
FMZ,6.1468,6.1468,6.1468,6.1468,6.1468,6.1468,6.1468
R7J,6.1775,6.1775,6.1775,6.1775,6.1775,6.1775,6.1775
FMR,6.2083,6.2083,6.2083,6.2083,6.2083,6.2083,6.2083
FMP,6.2393,6.2393,6.2393,6.2393,6.2393,6.2393,6.2393
YIW,6.2704,6.2704,6.2704,6.2704,6.2704,6.2704,6.2704
CBT,6.3016,6.3016,6.3016,6.3016,6.3016,6.3016,6.3016
85I,6.3331,6.3331,6.3331,6.3331,6.3331,6.3331,6.3331
WQU,6.3647,6.3647,6.3647,6.3647,6.3647,6.3647,6.3647
CBZ,6.3964,6.3964,6.3964,6.3964,6.3964,6.3964,6.3964
4SV,6.4283,6.4283,6.4283,6.4283,6.4283,6.4283,6.4283
W2Y,6.4604,6.4604,6.4604,6.4604,6.4604,6.4604,6.4604
FQO,6.4926,6.4926,6.4926,6.4926,6.4926,6.4926,6.4926
CAP,6.5250,6.5250,6.5250,6.5250,6.5250,6.5250,6.5250
BZQ,6.5575,6.5575,6.5575,6.5575,6.5575,6.5575,6.5575
IBV,6.5902,6.5902,6.5902,6.5902,6.5902,6.5902,6.5902
ZR5,6.6231,6.6231,6.6231,6.6231,6.6231,6.6231,6.6231
6TQ,6.6561,6.6561,6.6561,6.6561,6.6561,6.6561,6.6561
61K,6.6893,6.6893,6.6893,6.6893,6.6893,6.6893,6.6893
BAQ,6.7227,6.7227,6.7227,6.7227,6.7227,6.7227,6.7227
BXG,6.7562,6.7562,6.7562,6.7562,6.7562,6.7562,6.7562
D4V,6.7899,6.7899,6.7899,6.7899,6.7899,6.7899,6.7899
L4H,6.8238,6.8238,6.8238,6.8238,6.8238,6.8238,6.8238
P5T,6.8578,6.8578,6.8578,6.8578,6.8578,6.8578,6.8578
RSM,6.8920,6.8920,6.8920,6.8920,6.8920,6.8920,6.8920
5QO,6.9264,6.9264,6.9264,6.9264,6.9264,6.9264,6.9264
8LF,6.9609,6.9609,6.9609,6.9609,6.9609,6.9609,6.9609
2EW,6.9957,6.9957,6.9957,6.9957,6.9957,6.9957,6.9957
MDW,7.0305,7.0305,7.0305,7.0305,7.0305,7.0305,7.0305
F4F,7.0656,7.0656,7.0656,7.0656,7.0656,7.0656,7.0656
74J,7.1009,7.1009,7.1009,7.1009,7.1009,7.1009,7.1009
0GO,7.1363,7.1363,7.1363,7.1363,7.1363,7.1363,7.1363
6IO,7.1719,7.1719,7.1719,7.1719,7.1719,7.1719,7.1719
W8P,7.2076,7.2076,7.2076,7.2076,7.2076,7.2076,7.2076
9H9,7.2436,7.2436,7.2436,7.2436,7.2436,7.2436,7.2436
JEH,7.2797,7.2797,7.2797,7.2797,7.2797,7.2797,7.2797
7PF,7.3160,7.3160,7.3160,7.3160,7.3160,7.3160,7.3160
MVM,7.3525,7.3525,7.3525,7.3525,7.3525,7.3525,7.3525
B9Z,7.3892,7.3892,7.3892,7.3892,7.3892,7.3892,7.3892
AOR,7.4260,7.4260,7.4260,7.4260,7.4260,7.4260,7.4260
T0P,7.4631,7.4631,7.4631,7.4631,7.4631,7.4631,7.4631
2S7,7.5003,7.5003,7.5003,7.5003,7.5003,7.5003,7.5003
XZK,7.5377,7.5377,7.5377,7.5377,7.5377,7.5377,7.5377
SOT,7.5753,7.5753,7.5753,7.5753,7.5753,7.5753,7.5753
2SM,7.6131,7.6131,7.6131,7.6131,7.6131,7.6131,7.6131
U5Z,7.6510,7.6510,7.6510,7.6510,7.6510,7.6510,7.6510
9HH,7.6892,7.6892,7.6892,7.6892,7.6892,7.6892,7.6892
49F,7.7276,7.7276,7.7276,7.7276,7.7276,7.7276,7.7276
3KY,7.7661,7.7661,7.7661,7.7661,7.7661,7.7661,7.7661
7P2,7.8048,7.8048,7.8048,7.8048,7.8048,7.8048,7.8048
V74,7.8438,7.8438,7.8438,7.8438,7.8438,7.8438,7.8438
ZN7,7.8829,7.8829,7.8829,7.8829,7.8829,7.8829,7.8829
SFK,7.9222,7.9222,7.9222,7.9222,7.9222,7.9222,7.9222
IPU,7.9617,7.9617,7.9617,7.9617,7.9617,7.9617,7.9617
SM5,8.0014,8.0014,8.0014,8.0014,8.0014,8.0014,8.0014
GQN,8.0413,8.0413,8.0413,8.0413,8.0413,8.0413,8.0413
XLN,8.0814,8.0814,8.0814,8.0814,8.0814,8.0814,8.0814
K36,8.1217,8.1217,8.1217,8.1217,8.1217,8.1217,8.1217
KSG,8.1622,8.1622,8.1622,8.1622,8.1622,8.1622,8.1622
GZ4,8.2030,8.2030,8.2030,8.2030,8.2030,8.2030,8.2030
I4U,8.2439,8.2439,8.2439,8.2439,8.2439,8.2439,8.2439
SH1,8.2850,8.2850,8.2850,8.2850,8.2850,8.2850,8.2850
BMN,8.3263,8.3263,8.3263,8.3263,8.3263,8.3263,8.3263
0Y6,8.3678,8.3678,8.3678,8.3678,8.3678,8.3678,8.3678
JTV,8.4096,8.4096,8.4096,8.4096,8.4096,8.4096,8.4096
SZ8,8.4515,8.4515,8.4515,8.4515,8.4515,8.4515,8.4515
BM1,8.4937,8.4937,8.4937,8.4937,8.4937,8.4937,8.4937
7BV,8.5360,8.5360,8.5360,8.5360,8.5360,8.5360,8.5360
MGJ,8.5786,8.5786,8.5786,8.5786,8.5786,8.5786,8.5786
GZC,8.6214,8.6214,8.6214,8.6214,8.6214,8.6214,8.6214
7BC,8.6644,8.6644,8.6644,8.6644,8.6644,8.6644,8.6644
I47,8.7076,8.7076,8.7076,8.7076,8.7076,8.7076,8.7076
94H,8.7510,8.7510,8.7510,8.7510,8.7510,8.7510,8.7510
R4A,8.7947,8.7947,8.7947,8.7947,8.7947,8.7947,8.7947
HV0,8.8385,8.8385,8.8385,8.8385,8.8385,8.8385,8.8385
R4Y,8.8826,8.8826,8.8826,8.8826,8.8826,8.8826,8.8826
A32,8.9269,8.9269,8.9269,8.9269,8.9269,8.9269,8.9269
PP8,8.9715,8.9715,8.9715,8.9715,8.9715,8.9715,8.9715
TL5,9.0162,9.0162,9.0162,9.0162,9.0162,9.0162,9.0162
QKJ,9.0612,9.0612,9.0612,9.0612,9.0612,9.0612,9.0612
WPH,9.1064,9.1064,9.1064,9.1064,9.1064,9.1064,9.1064
4LE,9.1518,9.1518,9.1518,9.1518,9.1518,9.1518,9.1518
185,9.1974,9.1974,9.1974,9.1974,9.1974,9.1974,9.1974
XO4,9.2433,9.2433,9.2433,9.2433,9.2433,9.2433,9.2433
97U,9.2894,9.2894,9.2894,9.2894,9.2894,9.2894,9.2894
4L6,9.3357,9.3357,9.3357,9.3357,9.3357,9.3357,9.3357
KFS,9.3823,9.3823,9.3823,9.3823,9.3823,9.3823,9.3823
2KV,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
8MS,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
WLP,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
AEA,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
WJ3,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
VVD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2PR,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3JV,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N6J,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
RVS,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
LBG,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
918,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
LG0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
5ZX,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
OYL,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
7X7,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
11H,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
10R,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
CQX,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
LPH,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
6R1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S5N,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3KM,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
T85,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
KJR,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
PJ4,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
BRP,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
DGB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
F73,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3LW,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
I00,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
MH4,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
FWS,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
EWJ,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
P8X,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
IZL,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
QHR,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
C5R,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
VQF,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
419,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
BTG,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
P26,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3BO,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
XNQ,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
339,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
U7C,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
7OR,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
G1M,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
YA8,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
HWF,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
UTQ,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
I1R,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
80P,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0GH,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
QEZ,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
CGU,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
V1Q,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
DU0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
X0H,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
J1X,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
LND,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
OBW,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
9K8,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
T49,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
LNP,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ET5,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
OMK,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
45W,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
25Q,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
XIA,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
O3W,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
DWH,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
BBJ,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
RNE,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
SWV,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
14U,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
TXI,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3Y1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1SJ,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2L4,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
WJR,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
RI4,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
P5N,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ZJ0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
6E0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
WRO,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
PZ0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
A5L,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
W7U,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ON1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
TE8,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
LGH,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
07M,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1O7,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2EJ,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
60F,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
GXF,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0W9,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
DXE,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
